,pi,trait
Acacia melanoxylon,0.0015269647862048842,0.04552203774841284
Acradenia euodiiformis,0.0006779960557338464,0.9339940797887002
Acronychia oblongifolia,3.366418368375566e-05,0.6016726939619422
Acronychia pubescens,0.00046866245180761655,-0.2731732720997917
Alangium villosum,0.0,-0.9394259312198361
Alphitonia excelsa,6.26767091468509e-06,0.13381374469887442
Anopterus macleayanus,0.0,0.5160393708381629
Archirhodomyrtus beckleri,0.001396443021207882,1.7496222901613232
Atractocarpus benthamianus,4.840686941883922e-05,-0.0008996282022920033
Austrobuxus swainii,3.551853909880784e-05,-0.32631154439910864
Baloghia inophylla,9.081757981321367e-05,-0.8051706185867314
Caldcluvia paniculosa,0.00011746864468201824,1.551808588044865
Callicoma serratifolia,6.633403464991466e-06,1.4079070762593693
Ceratopetalum apetalum,0.0,1.38234289140277
Cinnamomum oliveri,0.0001272815415194775,-1.3062568146927287
Claoxylon australe,0.0,0.1112133652865497
Cryptocarya glaucescens,0.00014092818828005956,-1.0718377204442417
Cryptocarya meissneriana,0.00011074465397486787,-0.8001020907148765
Cryptocarya obovata,6.900533411232688e-05,-0.7221979912446136
Cryptocarya rigida,3.452945456645758e-05,-1.2968745027811932
Denhamia celastroides,6.527687840745305e-05,-0.11572141756466868
Diospyros australis,9.395158486928514e-06,-0.8410791319779882
Diospyros pentamera,2.266170828489393e-05,-0.3078486105356503
Diploglottis cunninghamii,1.1275124500864331e-05,-1.199948918027825
Doryphora sassafras,3.6914745548966096e-05,0.8022483113437323
Duboisia myoporoides,4.350592496315591e-05,0.7643363858561019
Ehretia acuminata,3.150526153620285e-06,1.385590530040463
Elaeocarpus reticulatus,0.00017184213817444458,-0.21792612080788362
Endiandra crassiflora,4.7167808913772524e-05,-1.0030067798635678
Endiandra muelleri,7.34298090880036e-05,-1.3679376156994327
Eupomatia laurina,0.00020311396705529776,0.007494313897965563
Ficus coronata,3.1198940983147265e-06,1.3171153926769388
Guioa semiglauca,0.0,-0.35745392908081736
Homolanthus populifolius,0.0,-0.0459662230253899
Neolitsea australiensis,0.0,-0.7036354183322256
Nothofagus moorei,1.7599009386959626e-05,0.9910515047230878
Orites excelsus,3.6021822019779577e-06,-0.287063034408439
Pennantia cunninghamii,3.107850009564408e-06,-1.031294163811099
Pittosporum revolutum,1.9435574713993368e-05,0.017928183359741105
Pittosporum undulatum,4.421805555862625e-05,1.1410831904057543
Polyscias sambucifolius,0.0007029106031135685,0.9748051939532896
Pouteria australia,3.5304576108546034e-06,-1.2605817152962548
Quintinia sieberi,9.388459236483553e-05,1.5414310654669876
Rhodamnia rubescens,4.1417517730281796e-05,1.2064086187201875
Sarcopteryx stipata,0.0,-0.3597451753418554
Schizomeria ovata,8.779955900983033e-05,-0.9137610246983241
Stenocarpus salignus,5.525468187500623e-05,-0.48393496386359924
Syzygium oleosum,0.0,-0.7453435659711909
Tabernaeamontana pandacaqui,1.0127031799048632e-05,-0.351259372633426
Tasmannia insipida,3.025199406859236e-05,0.6115739008984334
Tristaniopsis collina,3.283430659690471e-05,0.9520894246474111
Trochocarpa laurina,4.3779395625443385e-05,1.340117140082147
Wilkea huegeliana,8.265326785765943e-05,-0.6832074585638873
