,pi,abundance
Cratopopsis_impressus,0.043740573152337855,4.0
Cratopopsis_mauritianus,0.002413273001508296,5.0
Cratopus_aeneoniger,0.027849699162196533,20.0
Cratopus_armatus,0.005221023320570831,14.0
Cratopus_caliginosus,0.05994149991588898,47.0
Cratopus_cariei,0.00874811463046757,5.0
Cratopus_confusus,0.02075524925643301,21.0
Cratopus_deceptus,0.027318106729871432,8.0
Cratopus_emarginatus,0.014379084967320262,6.0
Cratopus_fasciger,0.0,1.0
Cratopus_melanocephalus,0.007670760611937081,15.0
Cratopus_molitor,0.0,1.0
Cratopus_mundulus,0.0899949723479135,4.0
Cratopus_murinus,0.0746012275872092,59.0
Cratopus_nigrogranatus,0.021116138763197574,3.0
Cratopus_ovalis,0.02412796064225677,23.0
Cratopus_psittacus,0.007943690296631471,6.0
Cratopus_punctum,0.01711666915286825,13.0
Cratopus_stigmaeus,0.02564102564102564,2.0
Cratopus_striga,0.0,1.0
Cratopus_tigratus,0.028456510809451982,6.0
Cratopus_variegatus,0.021116138763197588,4.0
Cratopus_viridilimbatus,0.02632270273810184,25.0
Cratopus_viridulus,0.0,1.0
Cratopus_vulgaris,0.03206218003329348,39.0
Scaevinus_subtruncatus,0.00787665493547847,10.0
